object_id,timestamp,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z
22049,2025-02-28 17:08:26.412583+00:00,103156.79592042489,20019.81390048933,1328.3652156079245,0.8676248949690945,1.4197591639434115,1.2937640751042572
22049,2025-02-28 17:09:26.412583+00:00,103208.93157583076,20105.055590455326,1406.0431215412063,0.8654988373895095,1.4193443658725922,1.293734871668678
22049,2025-02-28 17:10:26.412583+00:00,103260.93965135403,20190.272307652212,1483.7192082139406,0.8633758590057651,1.4189286226836983,1.2937041262106301
22049,2025-02-28 17:11:26.412583+00:00,103312.82033187334,20275.463995538077,1561.3933832289767,0.8612559544722012,1.418511939364011,1.2936718448364253
22049,2025-02-28 17:12:26.412583+00:00,103364.57380194578,20360.630597869116,1639.0655545545371,0.8591391184488704,1.4180943208773766,1.2936380336272957
22049,2025-02-28 17:13:26.412583+00:00,103416.20024580753,20445.77205869957,1716.7356305240896,0.857025345601547,1.4176757721643178,1.2936026986395082
22049,2025-02-28 17:14:26.412583+00:00,103467.69984737405,20530.88832237907,1794.403519833521,0.8549146306018018,1.4172562981421408,1.2935658459044583
22049,2025-02-28 17:15:26.412583+00:00,103519.07279024064,20615.979333552477,1872.0691315409485,0.852806968127012,1.416835903705053,1.293527481428788
22049,2025-02-28 17:16:26.412583+00:00,103570.31925768242,20701.045037157277,1949.7323750639912,0.8507023528604318,1.4164145937242667,1.293487611194481
22049,2025-02-28 17:17:26.412583+00:00,103621.43943265546,20786.085378423402,2027.3931601793754,0.8486007794912094,1.4159923730481063,1.2934462411589682
22049,2025-02-28 17:18:26.412583+00:00,103672.43349779607,20871.100302870887,2105.051397020739,0.8465022427144444,1.415569246502129,1.2934033772552402
22049,2025-02-28 17:19:26.412583+00:00,103723.301635422,20956.08975630908,2182.7069960775025,0.8444067372312192,1.4151452188892186,1.2933590253919396
22049,2025-02-28 17:20:26.412583+00:00,103774.04402753239,21041.05368483512,2260.3598681933845,0.8423142577486381,1.4147202949897042,1.2933131914534717
22049,2025-02-28 17:21:26.412583+00:00,103824.66085580837,21125.992034832318,2338.009924564615,0.8402247989798748,1.4142944795614594,1.2932658813001032
22049,2025-02-28 17:22:26.412583+00:00,103875.15230161323,21210.904752969374,2415.6570767390886,0.8381383556441965,1.4138677773400168,1.2932171007680684
22049,2025-02-28 17:23:26.412583+00:00,103925.51854599288,21295.7917861986,2493.301236614457,0.8360549224670106,1.4134401930386673,1.2931668556696674
22049,2025-02-28 17:24:26.412583+00:00,103975.75976967625,21380.65308175452,2570.9423164366463,0.8339744941799064,1.413011731348571,1.293115151793368
22049,2025-02-28 17:25:26.412583+00:00,104025.87615307572,21465.488587153304,2648.5802287991683,0.8318970655206714,1.4125823969388593,1.2930619949039117
22049,2025-02-28 17:26:26.412583+00:00,104075.86787628711,21550.298250190135,2726.2148866404277,0.8298226312333582,1.4121521944567437,1.2930073907424071
22049,2025-02-28 17:27:26.412583+00:00,104125.73511909055,21635.08201893906,2803.8462032434277,0.8277511860682941,1.411721128527615,1.2929513450264356
22049,2025-02-28 17:28:26.412583+00:00,104175.47806095074,21719.839841751153,2881.4740922338297,0.8256827247821261,1.4112892037551488,1.2928938634501481
22049,2025-02-28 17:29:26.412583+00:00,104225.09688101697,21804.571667253444,2959.0984675788227,0.8236172421378516,1.410856424721412,1.292834951684368
22049,2025-02-28 17:30:26.412583+00:00,104274.5917581241,21889.277444347284,3036.7192435853335,0.8215547329048618,1.4104227959869629,1.2927746153766877
22049,2025-02-28 17:31:26.412583+00:00,104323.96287079253,21973.95712220757,3114.3363348991406,0.8194951918589597,1.409988322090951,1.2927128601515643
22049,2025-02-28 17:32:26.412583+00:00,104373.21039722845,22058.610650280683,3191.949656502826,0.8174386137824128,1.409553007551227,1.2926496916104266
22049,2025-02-28 17:33:26.412583+00:00,104422.33451532491,22143.237978284345,3269.559123715334,0.8153849934639599,1.4091168568644348,1.2925851153317647
22049,2025-02-28 17:34:26.412583+00:00,104471.33540266131,22227.83905620516,3347.1646521895973,0.8133343256988699,1.408679874506119,1.2925191368712319
22049,2025-02-28 17:35:26.412583+00:00,104520.21323650451,22312.41383429768,3424.766157911355,0.811286605288966,1.4082420649308218,1.292451761761737
22049,2025-02-28 17:36:26.412583+00:00,104568.96819380896,22396.96226308434,3502.363557199091,0.8092418270426269,1.4078034325721858,1.2923829955135508
22049,2025-02-28 17:37:26.412583+00:00,104617.60045121718,22481.484293352234,3579.9567667005863,0.8071999857748666,1.4073639818430492,1.2923128436143891
22049,2025-02-28 17:38:26.412583+00:00,104666.11018505984,22565.97987615317,3657.5457033930165,0.8051610763073319,1.4069237171355495,1.2922413115295193
22049,2025-02-28 17:39:26.412583+00:00,104714.49757135658,22650.448962802395,3735.130284581439,0.8031250934683317,1.4064826428212218,1.292168404701853
22049,2025-02-28 17:40:26.412583+00:00,104762.7627858162,22734.891504876497,3812.710427896668,0.8010920320928908,1.4060407632510923,1.292094128552037
22049,2025-02-28 17:41:26.412583+00:00,104810.90600383718,22819.307454213325,3890.2860512950533,0.799061887022745,1.4055980827557795,1.292018488478555
22049,2025-02-28 17:42:26.412583+00:00,104858.927400508,22903.696762910025,3967.857073056411,0.7970346531063918,1.4051546056455915,1.2919414898578145
22049,2025-02-28 17:43:26.412583+00:00,104906.82715060716,22988.059383321237,4045.4234117821684,0.7950103251991314,1.4047103362106241,1.2918631380442465
22049,2025-02-28 17:44:26.412583+00:00,104954.60542860473,23072.39526805998,4122.984986396032,0.7929888981630427,1.4042652787208494,1.291783438370396
