time,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z
0.0,37108.04416147343,-32116.469722144688,-39341.96900930404,2.8763361002552053,0.9885996542676214,0.5293826308938594
30.0,37194.379123257204,-32086.787739216576,-39326.06947515218,2.8745499992717907,0.9901415153058503,0.5312726335806676
60.0,37280.66043915886,-32057.05953308031,-39310.11325198296,2.872761961683412,0.9916800449329868,0.5331595364983694
90.0,37366.88805125466,-32027.285203729163,-39294.100432876374,2.8709719996479097,0.9932152450312436,0.5350433395200043
120.0,37453.061901984925,-31997.464851099834,-39278.03111091586,2.8691801252976057,0.9947471175063469,0.5369240425471433
150.0,37539.18193415421,-31967.5985750712,-39261.90537918728,2.8673863507392023,0.9962756642874209,0.5388016455097864
180.0,37625.24809093027,-31937.686475463674,-39245.723330778004,2.8655906880537008,0.9978008873268507,0.5406761483662363
210.0,37711.26031584152,-31907.728652039295,-39229.485058776525,2.8637931492963613,0.9993227886001,0.5425475511029186
240.0,37797.21855278027,-31877.725204499457,-39213.190656270795,2.861993746496539,1.000841370105656,0.5444158537343488
270.0,37883.12274599907,-31847.676232485355,-39196.84021634787,2.8601924916576658,1.0023566338648349,0.5462810563029395
300.0,37968.97284010881,-31817.581835577643,-39180.433832093455,2.8583893967571963,1.0038685819216238,0.548143158878845
330.0,38054.76878008186,-31787.442113294317,-39163.971596590105,2.8565844737464476,1.0053772163426178,0.5500021615599242
360.0,38140.5105112467,-31757.257165091843,-39147.4536029175,2.854777734550622,1.0068825392167922,0.5518580644715018
390.0,38226.19797929142,-31727.02709036275,-39130.87994415063,2.8529691910686443,1.0083845526554516,0.5537108677663443
420.0,38311.831130259605,-31696.751988436266,-39114.25071335967,2.8511588551731544,1.00988325879203,0.555560571624454
450.0,38397.40991055203,-31666.431958576748,-39097.566003608714,2.8493467387103895,1.0113786597819927,0.5574071762529915
480.0,38482.93426692428,-31636.06709998355,-39080.82590795517,2.8475328535001387,1.0128707578026834,0.5592506818861207
510.0,38568.404146485525,-31605.657511790625,-39064.03051944923,2.845717211335689,1.0143595550531683,0.5610910887848625
540.0,38653.819496699965,-31575.203293064955,-39047.179931132414,2.843899823983707,1.01584505375415,0.5629283972370236
570.0,38739.18026538263,-31544.704542807176,-39030.274236037534,2.842080703184241,1.017327256147763,0.5647626075569868
600.0,38824.48640070467,-31514.161359948743,-39013.31352718667,2.840259860650529,1.0188061644975528,0.5665937200857208
630.0,38909.737851182814,-31483.573843354818,-38996.29789759241,2.8384373080691367,1.0202817810881624,0.5684217351904359
660.0,38994.934565689844,-31452.94209181952,-38979.22744025463,2.8366130570996564,1.021754108225402,0.570246653264706
690.0,39080.07649344429,-31422.266204068783,-38962.10224816176,2.8347871193748433,1.0232231482359435,0.5720684747281299
720.0,39165.16358401482,-31391.546278757796,-38944.9224142889,2.8329595065004436,1.0246889034672768,0.5738872000263172
750.0,39250.195787318255,-31360.78241447081,-38927.688031597245,2.831130230055155,1.0261513762875571,0.5757028296307374
780.0,39335.17305361953,-31329.974709720274,-38910.399193033176,2.829299301590557,1.0276105690854858,0.5775153640386091
810.0,39420.095333527,-31299.123262947644,-38893.0559915284,2.827466732631129,1.0290664842701014,0.5793248037726806
840.0,39504.96257799778,-31268.22817252047,-38875.65851999774,2.8256325346740567,1.0305191242707599,0.5811311493812458
870.0,39589.77473833375,-31237.28953673298,-38858.20687133908,2.823796719189254,1.0319684915369456,0.582934401437941
900.0,39674.531766176944,-31206.307453806865,-38840.70113843348,2.821959297619379,1.0334145885380723,0.5847345605415427
930.0,39759.23361351643,-31175.282021887808,-38823.14141414262,2.8201202813796176,1.0348574177634822,0.5865316273159974
960.0,39843.88023268224,-31144.213339047044,-38805.52779130954,2.8182796818577383,1.0362969817222174,0.588325602410184
990.0,39928.47157634616,-31113.101503279744,-38787.86036275699,2.8164375104140076,1.0377332829429302,0.5901164864978303
1020.0,40013.00759751958,-31081.946612505384,-38770.13922128748,2.8145937783811683,1.0391663239737117,0.5919042802773422
1050.0,40097.48824955443,-31050.748764566124,-38752.3644596818,2.812748497064342,1.0405961073820045,0.5936889844717319
1080.0,40181.913486142796,-31019.508057226434,-38734.53617069851,2.8109016777409797,1.0420226357544662,0.5954705998284822
1110.0,40266.28326131268,-30988.22458817335,-38716.65444707359,2.8090533316608783,1.0434459116967914,0.5972491271193643
1140.0,40350.59752943057,-30956.898455015114,-38698.71938151931,2.8072034700460615,1.0448659378336285,0.5990245671403701
1170.0,40434.856245199706,-30925.529755280535,-38680.73106672344,2.8053521040907543,1.046282716808444,0.6007969207115788
1200.0,40519.059363659086,-30894.118586418757,-38662.68959534876,2.8034992449613343,1.0476962512833783,0.6025661886770131
1230.0,40603.20684018064,-30862.665045799265,-38644.59506003262,2.801644903796337,1.0491065439390956,0.6043323719044876
1260.0,40687.298630472906,-30831.1692307098,-38626.44755338537,2.799789091706305,1.0505135974747133,0.6060954712855622
1290.0,40771.33469057637,-30799.631238357048,-38608.24716799032,2.7979318197738374,1.051917414607628,0.6078554877353483
1320.0,40855.31497686341,-30768.05116586606,-38589.99399640312,2.796073099053518,1.0533179980733796,0.60961242219239
1350.0,40939.239446038744,-30736.429110278914,-38571.68813115048,2.794212940571859,1.0547153506255618,0.6113662756185747
1380.0,41023.108055136574,-30704.765168555212,-38553.329664730176,2.792351355327294,1.0561094750356455,0.613117048998957
1410.0,41106.92076152229,-30673.0594375704,-38534.91868960958,2.7904883542900856,1.0575003740929028,0.6148647433416918
