timestamp,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,sat_id
0.0,-6241.621625761401,1509.361445902888,1480.8998461552578,-2.2374736610508754,-2.2679041277198357,-7.098228630504895,sat1
30.0,-6304.810907006425,1440.3902931373716,1267.0650004142012,-1.9750358471273766,-2.329606151877454,-7.155886563954128,sat1
60.0,-6360.088861571392,1369.611760039793,1051.6354818924456,-1.7101103580254544,-2.3883871222663293,-7.204539869364133,sat1
90.0,-6407.38589664686,1297.114610488256,834.882395780277,-1.4430331065643307,-2.4441723066388543,-7.244126127814511,sat1
120.0,-6446.642541249524,1222.9897925423543,617.0785432143582,-1.1741428861025336,-2.4968908358638537,-7.274594690859344,sat1
150.0,-6477.809525601683,1147.33032100556,398.4980669198624,-0.9037809018715619,-2.546475805357804,-7.295906759984796,sat1
180.0,-6500.847846373091,1070.2311570395616,179.4160947616468,-0.6322902973781949,-2.5928643701859007,-7.308035446663679,sat1
210.0,-6515.728817654029,991.7890850242572,-39.89161821003443,-0.36001567697105047,-2.6359978335810648,-7.31096581278126,sat1
240.0,-6522.434107561517,912.1025868646069,-259.14904862775694,-0.0873026256898131,-2.6758217286533688,-7.304694891283117,sat1
270.0,-6520.955760414439,831.2717139517869,-478.0802639947168,0.18550277246997393,-2.7122858930889375,-7.289231686974046,sat1
300.0,-6511.296204447495,749.3979569917884,-696.4097815962697,0.45805441673542374,-2.7453445366647964,-7.264597157475678,sat1
330.0,-6493.468245068101,666.5841139191953,-913.8629265416358,0.7300066710377419,-2.774956301435226,-7.230824174429327,sat1
360.0,-6467.495043694473,582.9341561179447,-1130.1661883453155,1.0010148436626427,-2.801084314474703,-7.18795746510843,sat1
390.0,-6433.410082246984,498.55309317377333,-1345.0475754639249,1.2707356639505285,-2.8236962330929103,-7.136053534681775,sat1
420.0,-6391.2571133979845,413.5468363849557,-1558.2369672134232,1.5388277549500744,-2.842764282468029,-7.0751805694429,sat1
450.0,-6341.090096717918,328.02206125938864,-1769.4664625008736,1.804952100956021,-2.8582652856751336,-7.005418321393049,sat1
480.0,-6282.973120886988,242.08606922601004,-1978.4707248184293,2.0687725088985913,-2.870180686117102,-6.926857974633374,sat1												
510.0,-6216.980312171779,155.8466487877994,-2184.9873229624554,2.3299560625943423,-2.878496562395548,-6.839601994086038,sat1											
540.0,-6143.195729395737,69.41193634248782,-2388.757066955252,2.5881735689136693,-2.883203635688406,-6.743763957124494,sat1												
570.0,-6061.713245659201,-17.109723106033623,-2589.5243386676307,2.843099994976304,-2.8842972697292164,-6.639468368746995,sat1												
600.0,-5972.63641709105,-103.60991512538861,-2787.0374166582774,3.094414895541546,-2.8817774635100477,-6.526850460977637,sat1
630.0,-5876.078338937787,-189.98029470542377,-2981.048794768054,3.341802829823293,-2.875648836855562,-6.406055977222152,sat1
660.0,-5772.161489318118,-276.11272457074637,-3171.315494029375,3.584953767025266,-2.8659206090395086,-6.277240942343375,sat1
690.0,-5661.017560990715,-361.8994127496066,-3357.599367474953,3.8235634799614244,-2.852606570636824,-6.1405714192515495,sat1
720.0,-5542.787281501519,-447.2330491992379,-3539.6673974532155,4.057333926195931,-2.835725048824352,-5.9962232528297985,sat1
750.0,-5417.620222092338,-532.0069412947471,-3717.2919850832277,4.285973616210397,-2.815298866360784,-5.844381802032235,sat1
780.0,-5285.674595765916,-616.1151479960363,-3890.251231507872,4.509197968180056,-2.791355294491619,-5.685241661002522,sat1
810.0,-5147.117044914899,-699.4526125140754,-4058.329210627854,4.726729649011868,-2.763926000037893,-5.519006370066107,sat1
840.0,-5002.122418930263,-781.9152933066958,-4221.316233026561,4.938298901372667,-2.7330469869374334,-5.345888117445317,sat1
870.0,-4850.873542213035,-863.4002932414487,-4379.009100819529,5.143643856504582,-2.698758532515336,-5.166107432538912,sat1
900.0,-4693.560973017217,-943.805986771812,-4531.211353188258,5.342510832695807,-2.661105118765432,-4.979892871591791,sat1
930.0,-4530.382753555145,-1023.0321449816869,-4677.733502382335,5.534654619340904,-2.6201353589269,-4.787480696559657,sat1
960.0,-4361.544151797797,-1100.9800583610308,-4818.393259997044,5.719838746587651,-2.575901919640496,-4.589114547947515,sat1
990.0,-4187.257395400893,-1177.552657184787,-4953.015753357543,5.897835740628124,-2.5284614389660787,-4.38504511236814,sat1
1020.0,-4007.7413981864797,-1252.6546293747035,-5081.433731861104,6.068427364744966,-2.477874440538651,-4.1755297855321425,sat1
1050.0,-3823.221479603602,-1326.1925357327802,-5203.487763151365,6.231404846276202,-2.424205244132783,-3.960832331338656,sat1
1080.0,-3633.929077588491,-1398.074922442091,-5319.026419016016,6.38656908970432,-2.3675218728963165,-3.7412225376945685,sat1
1110.0,-3440.101455235498,-1468.2124307392469,-5427.9064509193395,6.533730876116993,-2.3078959575029097,-3.5169758696406475,sat1
1140.0,-3241.9814016842565,-1536.5179036692025,-5529.992955095947,6.6727110493180355,-2.245402637460432,-3.288373120316365,sat1
1170.0,-3039.8169276180856,-1602.9064898406968,-5625.159527148553,6.803340688895979,-2.1801204597973842,-3.0557000602424145,sat1
1200.0,-2833.8609557601376,-1667.2957441065914,-5713.288406105414,6.925461270577536,-2.112131275333989,-2.8192470853493306,sat1
1230.0,-2624.3710067435786,-1729.605725099357,-5794.270607905294,7.038924814208072,-2.0415201327276993,-2.579308864128242,sat1
1260.0,-2411.6088807212604,-1789.7590895575947,-5868.006048288536,7.143594019709673,-1.9683751704648424,-2.33618398422737,sat1
